source,target,weight
8980589,9116228,16
8980589,13411525,1
8980589,10167078,12
8980589,17166682,4
8980589,3163105,14
8980589,8069478,26
8980589,16070049,13
8980589,3814175,1
8980589,8203947,3
8980589,13665529,18
8980589,3232277,2
8980589,4114133,1
8980589,16846902,1
8980589,8065771,5
8980589,17125520,29
8980589,5855343,3
8980589,17762417,1
8980589,11137808,4
8980589,15481779,1
8980589,4721538,12
8980589,15601640,5
8980589,13652117,1
8980589,2667061,2
8980589,9236708,9
8980589,19090042,2
8980589,9532295,1
8980589,17298108,3
8980589,17952967,2
8980589,8951591,2
8980589,16295025,2
8980589,3232808,1
8980589,8712361,4
8980589,11178891,15
8980589,3010486,2
8980589,17896997,1
8980589,16486385,1
8980589,2628785,7
8980589,17591442,16
8980589,21664445,2
8980589,13986583,1
8980589,16181377,11
8980589,2921933,4
8980589,15683275,2
8980589,17671219,1
8980589,16340461,4
8980589,17304269,1
8980589,18909888,3
8980589,14206030,2
8980589,5783868,2
8980589,17537254,4
8980589,9753494,1
8980589,16485079,6
8980589,9291938,1
8980589,10160250,2
8980589,12612426,2
8980589,15588389,1
8980589,8711574,7
8980589,16350988,5
8980589,16154290,1
8980589,10495502,1
8980589,8244723,1
8980589,11460897,2
8980589,17360296,1
8980589,11210000,1
8980589,11605861,2
8980589,11543212,1
8980589,3913629,3
8980589,8094859,1
8980589,4119387,1
8980589,10293348,1
8980589,11908619,1
8980589,10339991,1
8980589,16846805,3
8980589,15548844,1
8980589,14680483,1
8980589,3765735,1
8980589,9753530,2
8980589,19091931,2
8980589,17867309,1
8980589,17438424,1
8980589,9091922,1
8980589,6699205,2
8980589,17913199,1
8980589,9539868,1
8980589,13986477,1
8980589,7935088,1
8980589,10875178,1
8980589,10946002,1
8980589,17557290,1
8980589,15680043,1
8980589,17654967,1
8274902,8980589,15
8274902,4414426,3
8274902,29,2
8274902,4241237,6
8274902,3347834,2
8274902,9525492,3
8274902,7616956,14
8274902,8419602,4
8274902,3587612,2
8274902,8413663,2
8274902,5836206,2
8274902,3497901,2
8274902,4598363,6
8274902,11524047,6
8274902,16594509,1
8274902,7838405,1
8274902,4230749,4
8274902,7868195,4
8274902,10163418,8
8274902,8427677,1
8274902,4414184,2
8274902,5836035,2
8274902,16846805,4
8274902,12871993,2
8274902,7802210,6
8274902,6611894,5
8274902,5835799,2
8274902,15617305,9
8274902,7786053,3
8274902,3234817,17
8274902,8997281,1
8274902,16625432,2
8274902,5836163,2
8274902,4444354,1
8274902,4234009,2
8274902,8094859,4
8274902,9469519,6
8274902,7840203,2
8274902,7026287,1
8274902,8559607,1
8274902,5966099,1
8274902,6699205,2
8274902,8246081,2
8274902,5836181,1
8274902,8509987,3
8274902,8256186,1
8274902,7901791,1
8274902,4598109,1
8274902,2506050,4
8274902,7891312,4
8274902,4381377,5
8274902,4229950,2
8274902,8068173,4
8274902,3299214,1
8274902,8924186,1
8274902,8850802,1
8274902,16797672,3
8274902,7057894,3
8274902,4381129,1
8274902,8066542,3
8274902,9730873,2
8274902,4227544,1
8274902,4230739,1
8274902,7840791,4
8274902,4415241,2
8274902,8835968,3
8274902,9796812,1
8274902,4230061,4
8274902,5836387,1
8274902,7829784,3
8274902,10259967,1
8274902,9897223,1
8274902,3522293,1
8274902,7828725,2
8274902,8297018,1
8274902,3886356,1
8274902,8798010,3
8274902,9707941,1
8274902,7196392,1
8274902,9531722,3
8274902,9813188,2
8274902,16720240,3
8274902,8891315,2
8274902,8877158,2
8274902,9847388,2
8274902,7690945,1
8274902,8338584,1
8274902,4195012,3
8274902,7897469,1
8274902,9889095,2
8274902,15592096,1
8274902,5836197,1
8274902,3890028,1
8274902,11525714,1
8274902,4919895,2
8274902,5019924,1
8274902,9809626,1
8274902,16240569,1
159280,2123422,4
159280,10929797,1
159280,4824878,3
159280,7195651,7
159280,10804041,11
159280,4928976,3
159280,3034133,3
159280,8257672,2
159280,7823087,4
159280,8198913,4
159280,11455472,2
159280,6755064,1
159280,4302562,1
2123422,10804041,2
2123422,10929797,6
2123422,8257672,1
2123422,11455472,1
2123422,8057753,2
2123422,2910892,6
2123422,5755261,6
2123422,10714526,11
2123422,2652641,1
2123422,16961482,14
2123422,11717020,2
2123422,16059134,2
2123422,7195651,1
2123422,3041612,1
2123422,8198913,2
2123422,15587533,2
2123422,10282065,2
10929797,11455472,9
10929797,17399735,2
10929797,8257672,14
10929797,8198913,7
10929797,1137946,19
10929797,8461082,1
10929797,11029851,11
10929797,17654638,11
10929797,16574328,5
10929797,21591033,1
10929797,14762026,2
10929797,3166745,3
10929797,16433177,12
10929797,17777259,10
10929797,18655517,1
10929797,10725068,2
10929797,9698907,1
10929797,15605987,6
10929797,8229118,1
10929797,4130960,8
10929797,10860792,13
10929797,10949030,1
10929797,10683313,4
10929797,8942413,5
10929797,8412625,1
10929797,21591317,1
10929797,15655801,2
10929797,15668869,1
10929797,2784471,1
10929797,10929797,1
10929797,16278312,1
10929797,8057753,1
10929797,2911847,1
10929797,2846555,1
10929797,20278329,3
10929797,5545085,1
10929797,4127911,2
10929797,15679639,1
10929797,17658672,2
10929797,10739296,2
10929797,3182103,1
10929797,5946241,1
10929797,17654624,1
10929797,10714526,1
10929797,16176721,1
4824878,6412532,4
